test1: stopsign longitudinal left,Unnamed: 1,estimated_lateral,estimated_longitudinal,measured_lateral,measured_longitudinal
,,0.28883570765056166,1.5925554084233833,0.264,1.6
,,0.25708678494144077,1.3581228784700958,0.264,1.55
,,0.29638442690503464,1.4973486124550783,0.264,1.5
,,0.3401514928204013,1.4560230209941025,0.264,1.45
,,0.2522923312638332,1.6463242112485286,0.264,1.4
,,0.252293152152541,1.330763903521888,0.264,1.35
,,0.3429606407753696,1.3301547342333613,0.264,1.3
,,0.3023717364576455,1.2465288230294758,0.264,1.25
,,0.2405262807032524,1.0831321962380467,0.264,1.2
,,0.29112800217929824,1.264282281451502,0.264,1.15
,,0.2408291153593769,1.1751933032686774,0.264,1.1
,,0.24071351232148716,1.1291031947043046,0.264,1.05
,,0.2760981135783017,0.9090612545205261,0.264,1.0
,,0.16833598776711012,1.09027943109361,0.264,0.95
,,0.17775410837434835,0.7598148937207719,0.264,0.9
,,0.23588562353795137,0.908685709380027,0.264,0.85
,,0.21335844398327883,1.019045562580998,0.264,0.8
,,0.27971236662976373,0.6509463674869311,0.264,0.75
,,0.21859879622393946,0.6433702270397228,0.264,0.7
,,0.19338481493323545,0.6599651365087641,0.264,0.65
,,0.33728243844607775,0.5496524345883801,0.264,0.6
,,0.25271118497567324,0.3949336568933868,0.264,0.55
,,0.2673764102343962,0.5068562974806027,0.264,0.5
,,0.19276259068932716,0.3437696286273895,0.264,0.45
,,0.23678086377374089,0.44735924306351815,0.264,0.4
,,0.26954612948549334,0.25805757657661965,0.264,0.35
,,0.20645032112888487,0.45499344050175394,0.264,0.3
,,0.2827849009172836,0.17167467076637627,0.264,0.25
test2: stopsign longitudinal right,,-0.2940319344959403,1.5677938483794325,-0.264,1.6
,,-0.27858468748966386,1.631351721736967,-0.264,1.55
,,-0.29408533061146985,1.3769135683566045,-0.264,1.5
,,-0.17138609077455313,1.4727459934604128,-0.264,1.45
,,-0.2646748612368967,1.5307142754282428,-0.264,1.4
,,-0.31688554644779504,1.1892516765438774,-0.264,1.35
,,-0.22287275439484056,1.3184633858532304,-0.264,1.3
,,-0.3250421824985511,1.2759882794248423,-0.264,1.25
,,-0.2535568202497622,1.278182287177731,-0.264,1.2
,,-0.3619835061939888,1.0263049289121917,-0.264,1.15
,,-0.33040930244492156,0.9679543386915724,-0.264,1.1
,,-0.25415693820654384,1.1021941565616897,-0.264,1.05
,,-0.2270766710002295,1.0296984673233187,-0.264,1.0
,,-0.25543158594050147,0.9750492850345877,-0.264,0.95
,,-0.26978241411941206,0.9346448209496976,-0.264,0.9
,,-0.27905518477946445,0.7819975278421509,-0.264,0.85
,,-0.3379260995183714,0.8232253697161004,-0.264,0.8
,,-0.29999221041973545,0.7793072473298681,-0.264,0.75
,,-0.28703193854798936,0.6285648581973632,-0.264,0.7
,,-0.21114388868905423,0.8365774511144757,-0.264,0.65
,,-0.24681908552157694,0.6473832920911787,-0.264,0.6
,,-0.3521520077681367,0.4308696502797352,-0.264,0.55
